1,1,'image','https://example.com/images/sql_image.jpg','SQL Image','2024-02-26 05:45:00','2024-02-26 05:45:00','sql_image.jpg',1024,'An image for the SQL post',1,'public',"'{""read_write"": true}'",'/media/sql_image.jpg',NULL,'abcdef123456',false,NULL,NULL,1
2,2,'image','https://example.com/images/digital_marketing.jpg','Digital Marketing Image','2024-02-25 12:00:00','2024-02-25 12:00:00','digital_marketing.jpg',2048,'An image for the Marketing post',2,'public',"'{""read_write"": true}'",'/media/digital_marketing.jpg',NULL,'xyz987654321',false,NULL,NULL,1
3,1,'video','https://example.com/videos/sql_intro.mp4','SQL Introduction Video','2024-02-26 06:30:00','2024-02-26 06:30:00','sql_intro.mp4',4096,'An introductory video for SQL',1,'public',"'{""read_write"": true}'",'/media/sql_intro.mp4',NULL,'ghijk789012',false,NULL,NULL,1
4,2,'audio','https://example.com/audio/marketing_podcast.mp3','Marketing Podcast','2024-02-25 13:15:00','2024-02-25 13:15:00','marketing_podcast.mp3',1024,'A podcast discussing marketing strategies',2,'public',"'{""read_write"": true}'",'/media/marketing_podcast.mp3',NULL,'lmnop345678',false,NULL,NULL,1
5,1,'image','https://example.com/images/sql_diagram.png','SQL Diagram','2024-02-26 07:00:00','2024-02-26 07:00:00','sql_diagram.png',512,'A diagram illustrating SQL concepts',1,'public',"'{""read_write"": true}'",'/media/sql_diagram.png',NULL,'qrstuv234567',false,NULL,NULL,1
6,2,'image','https://example.com/images/marketing_infographic.jpg','Marketing Infographic','2024-02-25 13:45:00','2024-02-25 13:45:00','marketing_infographic.jpg',1024,'An infographic about marketing trends',2,'public',"'{""read_write"": true}'",'/media/marketing_infographic.jpg',NULL,'wxyz123456',false,NULL,NULL,1
7,1,'video','https://example.com/videos/sql_advanced_features.mp4','Advanced SQL Features Video','2024-02-26 07:30:00','2024-02-26 07:30:00','sql_advanced_features.mp4',8192,'A video covering advanced features in SQL',1,'public',"'{""read_write"": true}'",'/media/sql_advanced_features.mp4',NULL,'mnopq678901',false,NULL,NULL,1
8,2,'audio','https://example.com/audio/marketing_interview.mp3','Marketing Interview','2024-02-25 14:30:00','2024-02-25 14:30:00','marketing_interview.mp3',2048,'An interview with a marketing expert',2,'public',"'{""read_write"": true}'",'/media/marketing_interview.mp3',NULL,'abcd123456',false,NULL,NULL,1
9,1,'image','https://example.com/images/sql_query_example.png','SQL Query Example','2024-02-26 08:00:00','2024-02-26 08:00:00','sql_query_example.png',1024,'An example of a complex SQL query',1,'public',"'{""read_write"": true}'",'/media/sql_query_example.png',NULL,'efgh678901',false,NULL,NULL,1
10,2,'image','https://example.com/images/marketing_report.jpg','Marketing Report','2024-02-25 15:15:00','2024-02-25 15:15:00','marketing_report.jpg',1536,'A report on marketing performance',2,'public',"'{""read_write"": true}'",'/media/marketing_report.jpg',NULL,'ijkl901234',false,NULL,NULL,1
11,1,'video','https://example.com/videos/sql_optimization.mp4','SQL Optimization Techniques Video','2024-02-26 08:30:00','2024-02-26 08:30:00','sql_optimization.mp4',6144,'A video on optimizing SQL queries',1,'public',"'{""read_write"": true}'",'/media/sql_optimization.mp4',NULL,'uvwxyz345678',false,NULL,NULL,1
12,2,'audio','https://example.com/audio/marketing_trends.mp3','Marketing Trends Discussion','2024-02-25 16:00:00','2024-02-25 16:00:00','marketing_trends.mp3',1024,'A discussion on current marketing trends',2,'public',"'{""read_write"": true}'",'/media/marketing_trends.mp3',NULL,'1234abcd5678',false,NULL,NULL,1
13,1,'image','https://example.com/images/sql_join_diagram.png','SQL Join Diagram','2024-02-26 09:00:00','2024-02-26 09:00:00','sql_join_diagram.png',512,'A diagram explaining SQL JOIN operations',1,'public',"'{""read_write"": true}'",'/media/sql_join_diagram.png',NULL,'5678efgh9012',false,NULL,NULL,1
14,2,'image','https://example.com/images/marketing_strategy.jpg','Marketing Strategy Image','2024-02-25 16:45:00','2024-02-25 16:45:00','marketing_strategy.jpg',1024,'An image depicting marketing strategies',2,'public',"'{""read_write"": true}'",'/media/marketing_strategy.jpg',NULL,'abcd1234efgh',false,NULL,NULL,1
15,1,'video','https://example.com/videos/sql_security.mp4','SQL Security Best Practices Video','2024-02-26 09:30:00','2024-02-26 09:30:00','sql_security.mp4',2048,'A video discussing SQL security best practices',1,'public',"'{""read_write"": true}'",'/media/sql_security.mp4',NULL,'ijkl56789012',false,NULL,NULL,1
