1,1,'Introduction to SQL','This is a post about SQL.','2024-02-26 12:00:00',true,100,50,20,'2024-02-26 10:30:00','2024-02-26 10:30:00','introduction-to-sql','A brief overview of SQL',1,1,5,15,false,'John Doe','sql_image.jpg',"'[""database"", ""sql"", ""programming""]'",10,NULL,NULL
2,2,'Digital Marketing Strategies','Exploring effective digital marketing strategies.','2024-02-25 16:00:00',true,150,80,30,'2024-02-25 15:45:00','2024-02-25 15:45:00','digital-marketing-strategies','Key strategies for successful digital marketing',2,2,8,25,true,'Jane Smith','digital_marketing.jpg',"'[""marketing"", ""strategy"", ""digital""]'",12,NULL,NULL
3,1,'Web Development Best Practices','Tips and tricks for efficient web development.','2024-02-26 14:30:00',true,120,65,15,'2024-02-26 14:00:00','2024-02-26 14:00:00','web-development-best-practices','Improving your web development skills',1,1,7,20,false,'John Doe','web_dev.jpg',"'[""web"", ""development"", ""best practices""]'",8,NULL,NULL
4,2,'Machine Learning Fundamentals','Understanding the basics of machine learning.','2024-02-25 19:45:00',true,200,120,40,'2024-02-25 19:30:00','2024-02-25 19:30:00','machine-learning-fundamentals','Foundational concepts in machine learning',2,3,10,30,true,'Jane Smith','ml_fundamentals.jpg',"'[""machine learning"", ""fundamentals"", ""AI""]'",15,NULL,NULL
5,1,'Mobile App Design Trends','Exploring the latest trends in mobile app design.','2024-02-26 16:15:00',true,80,40,10,'2024-02-26 15:45:00','2024-02-26 15:45:00','mobile-app-design-trends','Stay updated with mobile app design trends',1,4,5,18,false,'John Doe','mobile_app_trends.jpg',"'[""mobile"", ""app design"", ""trends""]'",10,NULL,NULL
6,2,'Data Science Applications','Real-world applications of data science.','2024-02-25 21:30:00',true,180,90,25,'2024-02-25 21:00:00','2024-02-25 21:00:00','data-science-applications','Practical uses of data science in various domains',2,3,12,22,true,'Jane Smith','data_science_apps.jpg',"'[""data science"", ""applications"", ""real-world""]'",20,NULL,NULL
7,1,'Cybersecurity Basics','Essential concepts for cybersecurity.','2024-02-26 18:45:00',true,160,75,20,'2024-02-26 18:15:00','2024-02-26 18:15:00','cybersecurity-basics','Protecting your digital assets with cybersecurity basics',1,5,8,28,false,'John Doe','cybersecurity_basics.jpg',"'[""cybersecurity"", ""basics"", ""security""]'",15,NULL,NULL
8,2,'Content Creation Strategies','Effective strategies for creating engaging content.','2024-02-25 23:00:00',true,220,110,35,'2024-02-25 22:30:00','2024-02-25 22:30:00','content-creation-strategies','Boost your content creation with these strategies',2,2,15,32,true,'Jane Smith','content_creation_strategies.jpg',"'[""content creation"", ""strategies"", ""engagement""]'",18,NULL,NULL
9,1,'UI/UX Design Principles','Key principles for effective UI/UX design.','2024-02-26 20:30:00',true,140,60,18,'2024-02-26 20:00:00','2024-02-26 20:00:00','ui-ux-design-principles','Enhance your design skills with UI/UX principles',1,4,10,26,false,'John Doe','ui_ux_principles.jpg',"'[""ui"", ""ux"", ""design principles""]'",12,NULL,NULL
10,2,'E-commerce Trends 2024','Latest trends shaping the e-commerce industry.','2024-02-26 22:15:00',true,190,95,30,'2024-02-26 21:45:00','2024-02-26 21:45:00','ecommerce-trends-2024','Stay ahead with the evolving e-commerce landscape',2,6,12,24,true,'Jane Smith','ecommerce_trends_2024.jpg',"'[""e-commerce"", ""trends"", ""2024""]'",16,NULL,NULL
