1,2,1,'Inappropriate content','2024-02-26 07:30:00',false,NULL,NULL,'This post contains inappropriate content.',2,'content','post',1,NULL,NULL,NULL,NULL,NULL,NULL,'spam',NULL,NULL,false,'web','No feedback provided','pending','user_report',3,NULL,NULL
2,1,2,'Spam','2024-02-25 12:30:00',true,2,'2024-02-26 08:00:00','This comment is spam.',1,'content','comment',2,'Removed the comment','2024-02-26 08:00:00','192.168.1.1',2,2,3,'spam','Spammy comment',NULL,false,'web','Resolved as spam','verified','user_report',1,2,NULL
3,1,3,'Hate speech','2024-02-24 15:15:00',false,NULL,NULL,'This post contains hate speech.',3,'content','post',1,'Removed offensive content','2024-02-24 15:30:00','192.168.1.2',3,NULL,NULL,'hate_speech','Offensive language used',NULL,false,'web','Content removed','verified','user_report',2,3,NULL
4,2,4,'False information','2024-02-23 10:00:00',true,1,'2024-02-24 03:30:00','This post contains false information.',2,'content','post',2,'Verified the information','2024-02-24 03:30:00','192.168.1.3',4,NULL,NULL,'false_info','Misleading information found',NULL,false,'web','Content verified','verified','user_report',1,1,NULL
5,1,5,'Abuse','2024-02-22 06:45:00',false,NULL,NULL,'This comment is abusive.',1,'content','comment',3,'Removed the comment','2024-02-22 07:00:00','192.168.1.4',2,5,2,'abuse','Abusive language used',NULL,false,'web','Resolved as abuse','verified','user_report',2,2,NULL
6,2,6,'Inappropriate content','2024-02-21 04:15:00',true,1,'2024-02-21 05:00:00','This post contains inappropriate content.',3,'content','post',3,'Removed explicit content','2024-02-21 05:00:00','192.168.1.5',6,NULL,NULL,'spam','Explicit material found',NULL,false,'web','Content removed','verified','user_report',3,1,NULL
7,1,7,'Spam','2024-02-20 11:00:00',false,NULL,NULL,'This comment is spam.',1,'content','comment',4,'Removed the comment','2024-02-20 11:15:00','192.168.1.6',2,7,3,'spam','Spammy comment',NULL,false,'web','Resolved as spam','verified','user_report',1,2,NULL
8,2,8,'Hate speech','2024-02-19 08:50:00',false,NULL,NULL,'This post contains hate speech.',2,'content','post',4,'Removed offensive content','2024-02-19 09:00:00','192.168.1.7',3,NULL,NULL,'hate_speech','Offensive language used',NULL,false,'web','Content removed','verified','user_report',2,3,NULL
9,1,9,'False information','2024-02-18 05:40:00',true,2,'2024-02-18 06:30:00','This post contains false information.',1,'content','post',5,'Verified the information','2024-02-18 06:30:00','192.168.1.8',4,NULL,NULL,'false_info','Misleading information found',NULL,false,'web','Content verified','verified','user_report',1,2,NULL
10,2,10,'Abuse','2024-02-17 03:30:00',false,NULL,NULL,'This comment is abusive.',2,'content','comment',5,'Removed the comment','2024-02-17 03:45:00','192.168.1.9',5,10,4,'abuse','Abusive language used',NULL,false,'web','Resolved as abuse','verified','user_report',2,4,NULL
